address	type	length	references	value
1803e06ad	string	6	0	#Line
1803e06b7	string	29	0	ClientObject_CloseEventQueue
1803e06d4	string	11	0	ActivityId
1803e06e0	string	11	0	ClientGuid
1803e06ec	string	10	0	QueueGuid
1803e06fa	string	30	0	ClientObject_CreateCollection
1803e0718	string	11	0	ActivityId
1803e0724	string	6	0	Error
1803e072b	string	16	0	#ErrorTruncated
1803e0742	string	6	0	#Line
1803e074c	string	30	0	ClientObject_CreateCollection
1803e076a	string	11	0	ActivityId
1803e0776	string	11	0	ClientGuid
1803e0782	string	15	0	CollectionGuid
1803e0795	string	30	0	ClientObject_CreateEventQueue
1803e07b3	string	11	0	ActivityId
1803e07bf	string	6	0	Error
1803e07c6	string	16	0	#ErrorTruncated
1803e07dd	string	6	0	#Line
1803e07e7	string	30	0	ClientObject_CreateEventQueue
1803e0805	string	11	0	ActivityId
1803e0811	string	10	0	QueueGuid
1803e081f	string	30	0	ClientObject_CreateEventQueue
1803e083d	string	11	0	ActivityId
1803e0849	string	11	0	ClientGuid
1803e0855	string	17	0	MaxCapacityBytes
1803e086a	string	30	0	ClientObject_UpdateCollection
1803e0888	string	11	0	ActivityId
1803e0894	string	6	0	Error
1803e089b	string	16	0	#ErrorTruncated
1803e08b2	string	6	0	#Line
1803e08bc	string	30	0	ClientObject_UpdateCollection
1803e08da	string	11	0	ActivityId
1803e08e6	string	11	0	ClientGuid
1803e08f2	string	15	0	CollectionGuid
1803e0905	string	14	0	ClientConnect
1803e0913	string	11	0	ActivityId
1803e091f	string	6	0	Error
1803e0926	string	16	0	#ErrorTruncated
1803e093d	string	6	0	#Line
1803e0947	string	14	0	ClientConnect
1803e0955	string	11	0	ActivityId
1803e0961	string	11	0	ClientGuid
1803e096d	string	27	4	lib\src\client\manager.rsC
1803e0989	string	15	0	ClientRegister
1803e0998	string	11	0	ActivityId
1803e09a4	string	6	0	Error
1803e09ab	string	16	0	#ErrorTruncated
1803e09c2	string	6	0	#Line
1803e09cc	string	15	0	ClientRegister
1803e09db	string	11	0	ActivityId
1803e09e7	string	11	0	ClientGuid
1803e09f3	string	9	0	Altitude
1803e09fd	string	11	0	ClientName
1803e0a0c	string	17	0	ClientDisconnect
1803e0a1d	string	11	0	ActivityId
1803e0a29	string	11	0	ClientGuid
1803e0a38	string	17	0	ClientUnregister
1803e0a49	string	11	0	ActivityId
1803e0a55	string	6	0	Error
1803e0a5c	string	16	0	#ErrorTruncated
1803e0a73	string	6	0	#Line
1803e0a7d	string	17	0	ClientUnregister
1803e0a8e	string	11	0	ActivityId
1803e0a9a	string	11	0	ClientGuid
1803e0aa9	string	26	0	ClientManager_RemoveRules
1803e0ac3	string	11	0	ActivityId
1803e0acf	string	6	0	Error
1803e0ad6	string	16	0	#ErrorTruncated
1803e0aed	string	6	0	#Line
1803e0af7	string	26	0	ClientManager_RemoveRules
1803e0b11	string	11	0	ActivityId
1803e0b1d	string	11	0	ClientGuid
1803e0b2c	string	26	0	ClientManager_UpdateRules
1803e0b46	string	11	0	ActivityId
1803e0b52	string	6	0	Error
1803e0b59	string	16	0	#ErrorTruncated
1803e0b70	string	6	0	#Line
1803e0b7a	string	26	0	ClientManager_UpdateRules
1803e0b94	string	11	0	ActivityId
1803e0ba0	string	11	0	ClientGuid
1803e0bb2	string	9	0	Replaces
1803e0bbc	string	8	0	Removes
1803e0bc5	string	8	0	Enables
1803e0bce	string	9	0	Disables
1803e0bd8	string	15	0	EnsureSubrules
1803e0beb	string	19	0	PersistedStateLoad
1803e0bfe	string	11	0	ActivityId
1803e0c0a	string	12	0	ClientCount
1803e0c17	string	10	0	RuleCount
1803e0c22	string	11	0	ErrorCount
1803e0c31	string	32	0	ClientManager_ConnectEventQueue
1803e0c51	string	11	0	ActivityId
1803e0c5d	string	6	0	Error
1803e0c64	string	16	0	#ErrorTruncated
