address	size	name	signature	thunk	external	noreturn
18009e28c	230	WespClientProvider::EspCreateNOTFilter::StartActivity	void __thiscall StartActivity(EspCreateNOTFilter * this)	false	false	false
18009e380	966	WespClientProvider::EspCloseFilter::StopActivity	void __thiscall StopActivity(EspCloseFilter * this)	false	false	false
18009e74c	230	WespClientProvider::EspCloseFilter::StartActivity	void __thiscall StartActivity(EspCloseFilter * this)	false	false	false
18009e840	966	WespClientProvider::EspCreateRule::StopActivity	void __thiscall StopActivity(EspCreateRule * this)	false	false	false
18009ec0c	233	WespClientProvider::EspCreateRule::StartActivity	void __thiscall StartActivity(EspCreateRule * this)	false	false	false
18009ed00	966	WespClientProvider::EspCloseRule::StopActivity	void __thiscall StopActivity(EspCloseRule * this)	false	false	false
18009f0cc	233	WespClientProvider::EspCloseRule::StartActivity	void __thiscall StartActivity(EspCloseRule * this)	false	false	false
18009f1c0	966	WespClientProvider::EspGetRuleId::StopActivity	void __thiscall StopActivity(EspGetRuleId * this)	false	false	false
18009f58c	230	WespClientProvider::EspGetRuleId::StartActivity	void __thiscall StartActivity(EspGetRuleId * this)	false	false	false
18009f678	1006	WespClientProvider::EspGetRuleId::Stop	void __thiscall Stop(EspGetRuleId * this, _GUID * param_1)	false	false	false
18009fa70	966	WespClientProvider::EspUpdateRules::StopActivity	void __thiscall StopActivity(EspUpdateRules * this)	false	false	false
18009fe3c	281	WespClientProvider::EspUpdateRules::StartActivity	void __thiscall StartActivity(EspUpdateRules * this, _GUID * param_1, uint param_2, uint param_3)	false	false	false
18009ff60	966	WespClientProvider::EspRemoveAllRulesForClient::StopActivity	void __thiscall StopActivity(EspRemoveAllRulesForClient * this)	false	false	false
1800a032c	161	WespClientProvider::EspRemoveAllRulesForClient::StartActivity	void __thiscall StartActivity(EspRemoveAllRulesForClient * this, _GUID * param_1)	false	false	false
1800a03e0	966	WespClientProvider::EspRemoveRulesForClient::StopActivity	void __thiscall StopActivity(EspRemoveRulesForClient * this)	false	false	false
1800a07ac	197	WespClientProvider::EspRemoveRulesForClient::StartActivity	void __thiscall StartActivity(EspRemoveRulesForClient * this, _GUID * param_1, uint param_2)	false	false	false
1800a0880	966	WespClientProvider::EspEnumerateAllRulesForClient::StopActivity	void __thiscall StopActivity(EspEnumerateAllRulesForClient * this)	false	false	false
1800a0c4c	161	WespClientProvider::EspEnumerateAllRulesForClient::StartActivity	void __thiscall StartActivity(EspEnumerateAllRulesForClient * this, _GUID * param_1)	false	false	false
1800a0cf4	1082	WespClientProvider::EspEnumerateAllRulesForClient::Stop	void __thiscall Stop(EspEnumerateAllRulesForClient * this, uint param_1)	false	false	false
1800a1140	966	WespClientProvider::EspEnumerateRuleIds::StopActivity	void __thiscall StopActivity(EspEnumerateRuleIds * this)	false	false	false
1800a150c	197	WespClientProvider::EspEnumerateRuleIds::StartActivity	void __thiscall StartActivity(EspEnumerateRuleIds * this, _GUID * param_1, uint param_2)	false	false	false
1800a15d8	1082	WespClientProvider::EspEnumerateRuleIds::Stop	void __thiscall Stop(EspEnumerateRuleIds * this, uint param_1)	false	false	false
1800a1a20	966	WespClientProvider::EspQueryProcessProperties::StopActivity	void __thiscall StopActivity(EspQueryProcessProperties * this)	false	false	false
1800a1dec	234	WespClientProvider::EspQueryProcessProperties::StartActivity	void __thiscall StartActivity(EspQueryProcessProperties * this, uint param_1, uint * param_2)	false	false	false
1800a1ee0	966	WespClientProvider::EspQueryThreadProperties::StopActivity	void __thiscall StopActivity(EspQueryThreadProperties * this)	false	false	false
